date,category,value
2000-02,imports,70056
2000-05,imports,72333
2000-08,imports,75375
2000-11,imports,77919
2001-02,imports,79737
2001-05,imports,79612
2001-08,imports,77350
2001-11,imports,75903
2002-02,imports,78249
2002-05,imports,81687
2002-08,imports,80215
2002-11,imports,79980
2003-02,imports,82052
2003-05,imports,81084
2003-08,imports,82280
2003-11,imports,84054
2004-02,imports,83688
2004-05,imports,85840
2004-08,imports,88289
2004-11,imports,91087
2005-02,imports,90631
2005-05,imports,94182
2005-08,imports,97872
2005-11,imports,100701
2006-02,imports,112908
2006-05,imports,115418
2006-08,imports,102737
2006-11,imports,101750
2007-02,imports,102600
2007-05,imports,103722
2007-08,imports,107758
2007-11,imports,109966
2008-02,imports,114195
2008-05,imports,118984
2008-08,imports,119731
2008-11,imports,112304
2009-02,imports,108347
2009-05,imports,106228
2009-08,imports,108614
2009-11,imports,112378
2010-02,imports,115479
2010-05,imports,120992
2010-08,imports,124530
2010-11,imports,128257
2011-02,imports,127924
2011-05,imports,134914
2011-08,imports,136385
2011-11,imports,135762
2012-02,imports,136191
2012-05,imports,136961
2012-08,imports,135353
2012-11,imports,133156
2013-02,imports,137026
2013-05,imports,142818
2013-08,imports,142388
2013-11,imports,142632
2014-02,imports,138845
2014-05,imports,138839
2014-08,imports,141870
2014-11,imports,148859
2015-02,imports,143775
2015-05,imports,139710
2015-08,imports,137676
2015-11,imports,141463
2016-02,imports,143781
2016-05,imports,148834
2016-08,imports,160496
2016-11,imports,160277
2017-02,imports,164238
2017-05,imports,168060
2017-08,imports,170401
2017-11,imports,168512
2018-02,imports,172359
2018-05,imports,175305
2018-08,imports,178030
2018-11,imports,183760
2019-02,imports,196692
2019-05,imports,179845
2019-08,imports,185188
2019-11,imports,176147
2020-02,imports,168723
2020-05,imports,125446
2020-08,imports,147523
2020-11,imports,170661
2021-02,imports,156018
2021-05,imports,159832
2021-08,imports,171952
2021-11,imports,184203
2022-02,imports,209941
2022-05,imports,224203
2022-08,imports,231615
2022-11,imports,226407
2023-02,imports,222405
2023-05,imports,221480
2023-08,imports,213822
2023-11,imports,218583
2024-02,imports,215099
2024-05,imports,230129
2000-02,exports,67881
2000-05,exports,70325
2000-08,exports,71192
2000-11,exports,73053
2001-02,exports,77083
2001-05,exports,73932
2001-08,exports,71316
2001-11,exports,70474
2002-02,exports,72188
2002-05,exports,74647
2002-08,exports,73977
2002-11,exports,71214
2003-02,exports,76349
2003-05,exports,74807
2003-08,exports,75181
2003-11,exports,76374
2004-02,exports,76402
2004-05,exports,77934
2004-08,exports,79945
2004-11,exports,84108
2005-02,exports,82563
2005-05,exports,87384
2005-08,exports,90078
2005-11,exports,93460
2006-02,exports,104311
2006-05,exports,107938
2006-08,exports,96698
2006-11,exports,96042
2007-02,exports,94166
2007-05,exports,98134
2007-08,exports,99465
2007-11,exports,102296
2008-02,exports,104955
2008-05,exports,110409
2008-08,exports,113340
2008-11,exports,109631
2009-02,exports,103636
2009-05,exports,101716
2009-08,exports,102632
2009-11,exports,108358
2010-02,exports,110685
2010-05,exports,115919
2010-08,exports,116698
2010-11,exports,120874
2011-02,exports,128717
2011-05,exports,129201
2011-08,exports,131161
2011-11,exports,132768
2012-02,exports,135898
2012-05,exports,128659
2012-08,exports,131409
2012-11,exports,128749
2013-02,exports,135480
2013-05,exports,136067
2013-08,exports,136533
2013-11,exports,131484
2014-02,exports,132007
2014-05,exports,133192
2014-08,exports,132560
2014-11,exports,134477
2015-02,exports,133021
2015-05,exports,136695
2015-08,exports,129788
2015-11,exports,134150
2016-02,exports,136068
2016-05,exports,142497
2016-08,exports,143817
2016-11,exports,153250
2017-02,exports,157437
2017-05,exports,160435
2017-08,exports,163493
2017-11,exports,161921
2018-02,exports,165045
2018-05,exports,169107
2018-08,exports,172777
2018-11,exports,172771
2019-02,exports,170081
2019-05,exports,170111
2019-08,exports,180687
2019-11,exports,185817
2020-02,exports,171047
2020-05,exports,146376
2020-08,exports,147905
2020-11,exports,158772
2021-02,exports,155079
2021-05,exports,166847
2021-08,exports,160018
2021-11,exports,184942
2022-02,exports,182582
2022-05,exports,201997
2022-08,exports,228504
2022-11,exports,234968
2023-02,exports,218552
2023-05,exports,216826
2023-08,exports,211054
2023-11,exports,214802
2024-02,exports,213140
2024-05,exports,214216
